Time		Tb_f1		Tb_f2		Q		W
44506.7705075 19.702813804 43.3072868247 2.27741689344 0.0107458991888
44517.8828125 19.6481465478 43.4109326269 2.29949518796 0.00855034006053
44529.0097655 19.655233044 43.6307873589 2.3268979571 0.00672172454747
44540.1308595 19.7817776184 43.6150834495 2.30485344186 0.00977501367955
44551.246094 19.7240732925 43.6936029966 2.3241701581 0.0077357387487
44562.378906 19.7534316337 43.7585124889 2.32795685943 0.00782262146357
44573.49707 19.7382462848 43.7564186343 2.33008594461 0.0074922545185
44584.6240235 19.7655799129 43.7920141624 2.33038708387 0.00779830450858
44595.7480465 19.7544439903 43.7250108155 2.32344628402 0.00814968339255
44606.8720705 19.8212595256 43.9050823102 2.33627149029 0.00805380618751
44617.9990235 19.7635551997 43.8632052184 2.33995550758 0.00710596667972
44629.123047 19.7949382541 43.9218331469 2.34261113417 0.00729611237452
44640.2382815 19.9194581153 44.039089004 2.33815678223 0.00909776824228
44651.362305 20.0055084259 43.7899203078 2.29215830826 0.0133401200656
44662.4804685 19.8880750609 43.9616163842 2.33305010827 0.00907858129393
44673.604492 19.8921244872 44.1804241888 2.36086437171 0.00718495134017
44684.7255855 19.8900997741 44.1071392782 2.35165132645 0.00780400481028
44695.852539 19.9447670302 44.1552979337 2.34926629377 0.00862511775214
44706.9765625 19.8961739136 44.2756945727 2.3726216444 0.00641249067195
44718.100586 19.9832365808 44.2432398265 2.35462130976 0.00871192191452
44729.2216795 19.9721006583 44.4337805942 2.38119140893 0.00672331081704
44740.3515625 20.0237308446 44.411795121 2.37015639292 0.00811223326317
44751.4697265 19.9791871544 44.3238532282 2.36575524895 0.00788600259504
44762.59375 19.9154086889 44.4829861771 2.39657190175 0.00497048467359
44773.720703 20.0520768293 44.475657686 2.37398785009 0.00818427696964
44784.8330075 19.952865883 44.4568129947 2.38723541452 0.00607093632909
44795.9570315 19.8830132779 44.4526252855 2.39774203814 0.00450090944824
44807.078125 19.9640018055 44.3919035024 2.37701904999 0.00691764887849
44818.196289 19.9518535264 44.5845381247 2.40403817869 0.00488557118116
44829.3203125 20.0520768293 44.521722487 2.3799895124 0.00776521496039
44840.441406 20.0024713561 44.6159459436 2.40012137936 0.00576529376687
44851.5625 20.0682745348 44.6839962178 2.39857708277 0.00666140894154
44862.689453 20.1118058684 44.5793034882 2.37803681495 0.0086172127879
44873.8017575 20.065237465 44.6693392356 2.39714679021 0.00672489124018
44884.9257815 20.022718488 44.7164509639 2.4100207679 0.00531660336593
44896.046875 20.0551138991 44.7290140914 2.40653111989 0.00594835020648
44907.1796875 20.1168676514 44.7143571093 2.39484246043 0.00750442617947
44918.294922 20.1654607679 44.8085805659 2.39943746154 0.00776594450575
44929.421875 20.0996575893 44.7174978912 2.39797707988 0.00707932730186
44940.5429685 20.1684978377 44.7436710736 2.39048934415 0.00842714202022
44951.678711 20.0672621782 44.7604219103 2.40870435938 0.00594214968739
44962.7910155 19.99538486 44.7122632547 2.4138009445 0.00472524725766
44973.915039 19.9882983638 44.6326967803 2.40454814037 0.00528644028036
44985.0361325 19.9822242242 44.6798085086 2.41165172814 0.00471768658689
44996.1572265 19.9437546736 44.6661984537 2.41596491885 0.00395580827029
45007.28125 20.1411642097 44.6651515264 2.38457884233 0.00851224302323
45018.3994145 19.9589400225 44.7195917458 2.42052432845 0.00381930252307
45029.523437 20.0510644727 44.6745738721 2.4000730101 0.00635077007942
45040.6445315 19.9893107204 44.6881839269 2.41162229154 0.00480461771219
45051.7597655 20.1118058684 44.6651515264 2.38922775247 0.00783581314879
45062.883789 19.9984219297 44.7604219103 2.41960123437 0.00435662285191
45074.0048825 20.0925710931 44.8755839128 2.41972246473 0.00547605791347
45085.1289065 20.0358791238 44.7164509639 2.40793757086 0.00561971456135
45096.255859 20.0419532633 44.713310182 2.406566469 0.0057882166704
45107.3681645 20.1482507058 44.823237548 2.40407527247 0.00723584683808
45118.4892575 20.1330653569 44.851504585 2.41016829411 0.00662841822372
45129.6132815 20.1391394965 44.841035312 2.40784033202 0.00686376029621
45140.731445 20.0935834497 44.7520464919 2.40344469006 0.00662477274124
45151.8554685 20.1887449696 44.851504585 2.40135020045 0.00791147636033
45162.9765625 20.1867202564 44.9300241321 2.41191849769 0.00714928265912
45174.1035155 20.2089921015 44.9090855862 2.40565770887 0.00785341313433
45185.2246095 20.1158552948 44.8378945301 2.41111760088 0.00635589417195
45196.3515625 20.1836831867 44.986558206 2.41977998083 0.00656395603332
45207.472656 20.2292392334 45.1153302633 2.42938170845 0.00643962590862
45218.602539 20.1249665041 45.1184710452 2.44630695554 0.00400800509447
45229.7207035 20.1796337603 45.1833805375 2.44613046425 0.00467551352484
45240.847656 20.145213636 45.1080017723 2.44173302713 0.00457002123303
45251.9628905 20.1593866284 44.9917928425 2.42431150444 0.00595633005364
45263.086914 20.2859312028 45.2263045566 2.43490086634 0.00673398741561
45274.2109375 20.2494863653 45.1687235554 2.43315015679 0.0064192409028
45285.334961 20.2282268768 45.3194810859 2.4562238795 0.00455325277153
45296.4560545 20.075361031 45.3550766139 2.48508733548 0.000705793578672
45307.583008 20.3041536215 45.2828386305 2.43940342504 0.00663811714303
45318.7070315 20.3476849551 45.3152933767 2.43674803181 0.00734560653818
45329.8369145 20.2889682726 45.2817917032 2.44167277654 0.00629756191963
45340.9521485 20.2423998692 45.4032352695 2.46493188343 0.0041151406242
45352.0791015 20.2687211407 45.4032352695 2.46076177568 0.00472190336571
45363.2001955 20.3871668623 45.4650039799 2.45007154314 0.00688889176576
45374.3125 20.3557838078 45.6932341302 2.48492196443 0.00407903503335
45385.4394535 20.3011165517 45.5937760372 2.48056237612 0.0037278005087
45396.5576175 20.3264254666 45.7246419491 2.49368853272 0.00311479490698
