Time		Tb_f1		Tb_f2		Q		W
49577.6933595 59.8197772366 40.4489828986 2.78140483877 0.00250000772706
49588.8203128 59.8361675588 40.3515635346 2.78882318486 0.00142914340641
49599.9428713 59.8323431503 40.3387710929 2.78922308625 0.00132614216958
49611.0712893 59.8591140101 40.2669366124 2.79610204375 0.000444443742537
49622.1894533 59.9716608898 40.3564837045 2.80154623474 0.000625605137092
49633.3193363 60.0825687372 40.3161383114 2.81462795372 -0.000473221902326
49644.4418945 60.1262762633 40.3023618357 2.81965739127 -0.00088525377044
49655.5659182 60.0754662642 40.4479988646 2.80603537864 0.000881329409294
49666.6884765 60.0945883069 40.38010052 2.81194758045 8.63711034986e-05
49677.8125 60.1514080908 40.3899408598 2.81682208536 -0.000173703835503
49688.9291993 60.124090887 40.4125736413 2.81283687442 0.000223179464265
49700.0649418 60.1820033591 40.4096215394 2.8185846294 -0.000170905795769
49711.180176 60.1055151884 40.4844081218 2.80674019004 0.00105392339347
49722.3027342 60.1180811022 40.5906837916 2.80156954773 0.00203117808788
49733.423828 60.1224518548 40.5109770393 2.80677453372 0.00121131993216
49744.550781 60.2694184113 40.5867476556 2.8163658888 0.00103867796638
49755.6718747 60.1716228217 40.6211888449 2.80488799498 0.00199727268479
49766.798828 60.2278962615 40.5857636217 2.81242913896 0.00129053477531
49777.9199217 60.3502773346 40.6821989516 2.81841767664 0.00147820516607
49789.0410158 60.3431748616 40.6605502041 2.81903406288 0.00130766756835
49800.1635743 60.4087361508 40.710735937 2.82233273048 0.00139347012333
49811.2905277 60.4256728171 40.7058157671 2.82425943152 0.00123772246069
49822.4116213 60.4382387309 40.618236743 2.83072939718 0.000287473076751
49833.529785 60.4764828162 40.7028636652 2.8293309944 0.00088789097015
49844.6596682 60.5130878693 40.5828115197 2.84006696429 -0.000536888952116
49855.7822265 60.4874096977 40.7363208205 2.82837386477 0.00115178722289
49866.9077147 60.4764828162 40.5867476556 2.83630397811 -0.000266834946565
49878.0273438 60.5065317404 40.5434501606 2.84179817777 -0.000886823427368
49889.1542967 60.5398587291 40.6428375925 2.83904236764 -0.000108942989733
49900.290039 60.4420631394 40.4568551704 2.84078459988 -0.00134078693265
49911.4140628 60.3650286247 40.5621468062 2.8270466278 0.000191452884001
49922.5410158 60.3699457213 40.5188493111 2.8301190199 -0.000269932397389
49933.6665043 60.2967356151 40.5867476556 2.81899514394 0.00086651871434
49944.7846682 60.2677793791 40.4007652336 2.82736955235 -0.000799322079826
49955.9086915 60.1787252947 40.5031047674 2.81265993129 0.000778649696117
49967.0327147 60.1213591666 40.3259786512 2.81776823719 -0.000619758994672
49978.1494143 60.1202664785 40.3397551269 2.81683694147 -0.000476058321273
49989.2792967 60.0563442216 40.4037173355 2.80685346687 0.000561768219605
50000.398926 60.1251835752 40.3417231948 2.8171918215 -0.000487477596385
50011.5244143 60.0803833609 40.3987971656 2.80946006229 0.000361540880595
50022.6469725 60.1251835752 40.4165097773 2.81270582658 0.000255403042356
50033.7753905 60.1464909942 40.4598072723 2.81215743435 0.000551407627007
50044.897949 60.1066078766 40.3564837045 2.81452003643 -0.000223897810162
50056.0219728 60.0148220718 40.4007652336 2.80303869004 0.000793822299633
50067.1401365 59.9885975561 40.4598072723 2.79697555725 0.00154549167827
50078.2612308 60.1820033591 40.4135576753 2.81834849176 -0.000131801409711
50089.3940428 59.9896902443 40.4706316461 2.79643105708 0.00164617632937
50100.5166012 60.1415738975 40.4401265928 2.81286535539 0.000386822384868
50111.6420897 60.1574178757 40.3919089278 2.81728211714 -0.000192005747364
50122.760254 60.1749008861 40.4233980151 2.8170748565 1.07020580802e-05
50133.8886717 60.1426665856 40.3082660396 2.82087980854 -0.000929847927955
50145.0126955 60.1759935743 40.3673080783 2.82054470282 -0.00055337985446
50156.1323243 60.0984127154 40.4981845975 2.80523039675 0.00123555893798
50167.254883 60.0754662642 40.3761643841 2.81034489954 0.000167672863313
50178.3847658 60.073827232 40.428318185 2.80705859785 0.000696104912013
50189.5014647 60.001709814 40.4096215394 2.80124696331 0.000964335731295
50200.6313478 59.9935146528 40.383052622 2.80205305813 0.000751977560844
50211.746582 60.0978663714 40.3653400103 2.81314818675 -8.0887255086e-05
50222.8662107 60.0295733618 40.4155257433 2.80357126412 0.000847608259877
50233.9902345 59.9858658357 40.4489828986 2.79736248986 0.00145512728579
50245.1113283 60.0088122869 40.4037173355 2.80228388655 0.000860976735418
50256.2338868 60.0224708888 40.2157668455 2.81486756676 -0.00109142121126
50267.3535158 60.0006171258 40.2620164425 2.80999423684 -0.000494728555628
50278.4833985 60.0333977704 40.3151542774 2.80995925402 -0.000173431423026
50289.598633 60.159603252 40.3299147871 2.82121070129 -0.000821531745094
50300.7299805 60.0869394898 40.2029744038 2.82183281266 -0.00162426591093
50311.8525393 60.0049878784 40.3151542774 2.80722818044 5.39473083188e-06
50322.9809567 60.0989590595 40.4174938112 2.81012471172 0.0004303209069
50334.099121 60.0940419628 40.3210584813 2.81543618624 -0.000496602209986
50345.2246092 60.1612422842 40.333850923 2.82113230913 -0.000792764290247
50356.3413085 60.181457015 40.3269626852 2.82349004555 -0.000988505004309
50367.4609372 60.180910671 40.3220425153 2.823732548 -0.00103392581658
