Time		Tb_f1		Tb_f2		Q		W
249004.675782 39.2301321235 32.217579299 2.11259303789 -7.81743360538e-05
249019.5 39.4211798494 32.2095247624 2.13683684915 -0.00157522676234
249034.332032 39.3370773179 32.2709406034 2.12180517047 -0.000339546177501
249049.164062 39.3744562208 32.1581770922 2.13491884909 -0.00174001723928
249065.957032 39.3194261693 32.2749678716 2.11931801625 -0.000168517407995
249080.773438 39.3734179179 32.3313496272 2.1217530239 -7.13445647276e-06
249095.566407 39.4024903979 32.2125452136 2.13429625424 -0.00140648653075
249110.390625 39.3080048379 32.1541498239 2.12699963222 -0.00128728168372
249125.214844 39.3827626436 32.2075111283 2.13223365025 -0.00131028486689
249140.042969 39.357843375 32.2044906771 2.12937725672 -0.00115553153119
249154.871094 39.4035287008 32.1410612021 2.13980490827 -0.0021261236309
249169.703125 39.350575255 32.171265714 2.13097864032 -0.00143253854583
249184.535156 39.4471374208 32.218586116 2.139367886 -0.00167756129409
249199.351562 39.3713413122 32.0997817024 2.1389275377 -0.00229837496325
249214.183594 39.4388309979 32.061522654 2.15015897657 -0.00317993652766
249230.460938 39.3692647065 32.1591839092 2.13420062556 -0.00169148242165
249245.296875 39.2508981807 32.1954293235 2.11682867646 -0.00045274672249
249260.117188 39.2425917578 32.1179044096 2.12163562226 -0.00116319915916
249274.933594 39.1584892264 31.9437250575 2.12433694322 -0.00227347411381
249289.765625 39.277894055 32.0826658123 2.12865350688 -0.00177576896391
249304.585938 39.2841238721 32.0756180929 2.12995436363 -0.0018921224966
249319.421875 39.1584892264 31.9819841059 2.12146002637 -0.0018927825854
249334.25 39.176140375 32.1138771413 2.11372107017 -0.000710739480051
249349.070312 39.1314933521 32.0977680683 2.10941328089 -0.000540269652783
249363.90625 39.197944735 31.8833160336 2.13375702638 -0.00316685787489
249381.742188 39.2727025407 32.0887067147 2.12755683875 -0.00167713646376
249396.554688 39.3557667693 31.9870181912 2.14548246459 -0.00330527356664
249411.390625 39.1917149178 32.0997817024 2.11670741324 -0.000966510048478
249426.21875 39.3225410779 32.0534681175 2.13637339325 -0.00239749414279
249441.050782 39.256089695 32.0887067147 2.12550195163 -0.0015539673937
249455.886719 39.2249406093 32.1742861652 2.11520965006 -0.000470896518341
249470.726562 39.299698415 32.1350202997 2.12741157388 -0.00141617832237
249485.554688 39.3152729579 32.0977680683 2.13214141519 -0.00190258446437
249500.382812 39.2685493293 32.1209248608 2.12461898504 -0.00132556899179
249515.191406 39.3080048379 32.0826658123 2.13237845257 -0.00199904064149
249531.445312 39.3827626436 32.1098498731 2.13958342852 -0.00228285323482
249546.277344 39.3318858036 32.3263155419 2.11699295946 0.000250738089314
249563.140625 39.2425917578 32.2568451645 2.11117797007 0.000220622412494
249577.957032 39.2789323579 32.2850360423 2.11355037348 0.000232068787406
249592.78125 39.357843375 32.1158907755 2.13604513929 -0.00203786721859
249607.605468 39.2830855693 32.1440816533 2.12467456224 -0.00120276376741
249622.445312 39.3152729579 32.0333317762 2.13698884809 -0.0025440269314
249637.265625 39.2882770836 32.2588587986 2.11667732994 -9.80327089177e-05
249652.101562 39.1699105578 32.031318142 2.11916175182 -0.00148644203438
249666.929688 39.3090431407 32.1722725311 2.12576418489 -0.00111450117595
249681.765625 39.2041745521 32.2105315795 2.10991345694 4.40360338483e-05
249696.589844 39.285162175 32.1501225556 2.12447684194 -0.00115800529511
249711.417968 39.176140375 31.9940659107 2.12273382561 -0.00190336332927
249726.234375 39.2114426721 32.1984497747 2.11172167551 -0.000130178171499
249742.46875 39.1667956492 32.1179044096 2.11226263441 -0.000601386209465
