Time		Tb_f1		Tb_f2		Q		W
249011.849609 17.7492783222 46.9265833117 2.11714773794 -0.000198085663476
249026.675782 17.7805972884 46.9045323239 2.11105721356 0.000531692685158
249041.5 17.7422062976 46.8744139016 2.11296025717 -1.03429180235e-05
249056.830078 17.7593812145 46.9185158772 2.11509019548 4.32066081776e-05
249073.132812 17.7341239837 46.9238941669 2.11879417179 -0.000468767073296
249087.9375 17.8109059654 46.8819435072 2.10504131416 0.00124569211147
249102.730469 17.8189882792 46.9852066695 2.11407608947 0.000761878823739
249117.564453 17.83111175 46.8706490988 2.10139698388 0.00169850266062
249132.390625 17.7523091899 46.975525748 2.12153105798 -0.000442597376724
249147.222656 17.7967619161 46.9373398911 2.11221507578 0.000635781823908
249162.048829 17.6644140267 46.8131013989 2.1167878368 -0.00110666922475
249176.873047 17.7159387776 46.8706490988 2.11590125709 -0.000485034428568
249191.710938 17.7543297684 46.9190537061 2.11577866039 -5.58740569489e-05
249206.535156 17.7997927838 46.9292724566 2.11104797379 0.000743019956357
249222.078125 17.7472577438 46.7136030394 2.09667888469 0.00107689503272
249237.640625 17.6623934483 46.7958908719 2.11536769472 -0.00103884356767
249252.464843 17.6866403898 46.7975043588 2.11247234409 -0.000589280655077
249267.292969 17.6755272083 46.6695010638 2.10142130944 -1.09054952542e-05
249282.107422 17.6735066298 46.7458727776 2.10910299194 -0.000519885276428
249296.937499 17.6714860514 46.6431474443 2.0993676716 7.48923735571e-05
249311.765625 17.7028050175 46.7727642262 2.10803042277 -0.000130386123024
249326.589843 17.6684551837 46.7447971197 2.10963425693 -0.000608984866689
249341.425781 17.6805786544 46.757167186 2.10931134372 -0.000455482283433
249356.25 17.6896712575 46.738343172 2.10633566439 -0.000167123036406
249371.824219 17.6987638606 46.6721902087 2.09875749626 0.000412910575472
249388.914062 17.6876506791 46.6452987602 2.09754190555 0.000367984176593
249403.730469 17.6583522913 46.6990816572 2.10645978739 -0.000518671881216
249418.56836 17.678558076 46.7458727776 2.10846708629 -0.000424153243262
249433.390625 17.7108873314 46.8442954792 2.1139725809 -0.000418251000986
249448.228515 17.7886796023 46.8475224531 2.10449078609 0.00103655434241
249463.070312 17.7381651407 46.8227823204 2.10844464001 0.00023146472234
249477.902343 17.7603915038 46.8426819923 2.10758221663 0.000530095571712
249492.722656 17.8220191469 46.8281606101 2.09840756342 0.00178810993054
249507.554688 17.7432165868 46.7523267253 2.10095414332 0.000761602893986
249523.082031 17.774535553 46.6872494199 2.09068096938 0.00175643748735
249538.625 17.7108873314 46.8007313326 2.10973368057 -0.000149621717842
249554.466797 17.7088667529 46.7378053431 2.10386668735 0.000200007465201
249570.302735 17.7997927838 46.8179418597 2.10021273766 0.00142967486318
249585.126953 17.6815889437 46.8190175176 2.11520142008 -0.000817663696151
