Date	Time	msec	Time_P	Freqg	Freq1	Tb1	Freq2	Tb2
01.08.17 02:10:32 959	38473.181641	10600	22800	    60.099	19600	    27.728
01.08.17 02:10:33 281	38473.539062	10700	23000	    58.308	19800	    29.562
01.08.17 02:10:33 685	38473.902344	10800	23200	    56.767	20000	    32.219
01.08.17 02:10:34 006	38474.259766	10900	23400	    55.242	20200	    34.723
01.08.17 02:10:34 328	38474.617188	11000	23600	    52.628	20400	    36.946
01.08.17 02:10:34 726	38474.974609	11100	23800	    50.170	20600	    40.103
01.08.17 02:10:35 047	38475.332031	11200	24000	    47.914	20800	    43.493
01.08.17 02:10:35 375	38475.695312	11300	24200	    44.582	21000	    46.046
01.08.17 02:10:35 772	38476.052734	11400	24400	    42.846	21200	    48.871
01.08.17 02:10:36 094	38476.410156	11500	24600	    41.591	21400	    52.253
01.08.17 02:10:36 420	38476.773438	11600	24800	    40.212	21600	    55.506
01.08.17 02:10:36 819	38477.130859	11700	25000	    39.264	21800	    58.094
01.08.17 02:10:37 140	38477.488281	11800	25200	    38.359	22000	    60.514
01.08.17 02:10:37 539	38477.845703	11900	25400	    37.412	22200	    61.914
01.08.17 02:10:37 860	38478.203125	12000	25600	    36.100	22400	    62.440
01.08.17 02:10:38 187	38478.566406	12100	25800	    34.197	22600	    62.721
01.08.17 02:10:38 584	38478.923828	12200	26000	    32.609	22800	    61.572
01.08.17 02:10:38 907	38479.281250	12300	26200	    31.395	23000	    60.151
01.08.17 02:10:39 233	38479.644531	12400	26400	    30.171	23200	    58.332
01.08.17 02:10:39 631	38480.001953	12500	26600	    28.779	23400	    56.562
01.08.17 02:10:39 953	38480.359375	12600	26800	    28.594	23600	    54.330
01.08.17 02:10:40 280	38480.722656	12700	27000	    27.744	23800	    51.991
01.08.17 02:10:40 677	38481.080078	12800	27200	    26.720	24000	    50.373
01.08.17 02:10:41 000	38481.437500	9800	21200	    48.120	18000	    20.545
01.08.17 02:10:41 326	38481.800781	9900	21400	    51.710	18200	    20.850
01.08.17 02:10:41 724	38482.158203	10000	21600	    55.098	18400	    21.399
01.08.17 02:10:42 045	38482.515625	10100	21800	    57.533	18600	    22.298
01.08.17 02:10:42 373	38482.878906	10200	22000	    59.835	18800	    23.819
01.08.17 02:10:42 770	38483.236328	10300	22200	    60.906	19000	    24.075
01.08.17 02:10:43 092	38483.593750	10400	22400	    61.359	19200	    24.973
01.08.17 02:10:43 414	38483.951172	10500	22600	    61.608	19400	    26.178
01.08.17 02:10:43 812	38484.308594	10600	22800	    60.186	19600	    27.841
01.08.17 02:10:44 138	38484.671875	10700	23000	    58.364	19800	    29.651
01.08.17 02:10:44 536	38485.029297	10800	23200	    56.803	20000	    32.299
01.08.17 02:10:44 859	38485.386719	10900	23400	    55.352	20200	    34.795
01.08.17 02:10:45 185	38485.750000	11000	23600	    52.734	20400	    36.982
01.08.17 02:10:45 582	38486.107422	11100	23800	    50.200	20600	    39.976
01.08.17 02:10:45 905	38486.464844	11200	24000	    48.017	20800	    43.465
01.08.17 02:10:46 232	38486.828125	11300	24200	    44.583	21000	    46.185
01.08.17 02:10:46 639	38487.185547	11400	24400	    42.924	21200	    48.812
01.08.17 02:10:46 970	38487.542969	11500	24600	    41.447	21400	    52.302
01.08.17 02:10:47 296	38487.906250	11600	24800	    40.238	21600	    55.556
01.08.17 02:10:47 695	38488.263672	11700	25000	    39.185	21800	    58.211
01.08.17 02:10:48 016	38488.621094	11800	25200	    38.376	22000	    60.538
01.08.17 02:10:48 343	38488.984375	11900	25400	    37.479	22200	    61.977
01.08.17 02:10:48 741	38489.341797	12000	25600	    36.175	22400	    62.539
01.08.17 02:10:49 063	38489.699219	12100	25800	    34.170	22600	    62.743
01.08.17 02:10:49 389	38490.062500	12200	26000	    32.795	22800	    61.733
01.08.17 02:10:49 788	38490.419922	12300	26200	    31.461	23000	    60.114
01.08.17 02:10:50 109	38490.777344	12400	26400	    30.121	23200	    58.490
01.08.17 02:10:50 440	38491.134766	12500	26600	    28.756	23400	    56.738
01.08.17 02:10:50 756	38491.486328	12600	26800	    28.617	23600	    54.182
01.08.17 02:10:51 079	38491.843750	12700	27000	    27.792	23800	    52.040
01.08.17 02:10:51 406	38492.207031	12800	27200	    26.691	24000	    50.405
01.08.17 02:10:51 803	38492.564453	9800	21200	    48.129	18000	    20.677
01.08.17 02:10:52 125	38492.921875	9900	21400	    51.911	18200	    20.834
01.08.17 02:10:52 456	38493.279297	10000	21600	    55.131	18400	    21.357
01.08.17 02:10:52 773	38493.630859	10100	21800	    57.518	18600	    22.344
01.08.17 02:10:53 094	38493.988281	10200	22000	    59.801	18800	    23.958
01.08.17 02:10:53 421	38494.351562	10300	22200	    60.979	19000	    24.082
01.08.17 02:10:53 819	38494.708984	10400	22400	    61.392	19200	    24.993
01.08.17 02:10:54 141	38495.066406	10500	22600	    61.558	19400	    26.341
01.08.17 02:10:54 544	38495.429688	10600	22800	    60.255	19600	    27.804
01.08.17 02:10:54 866	38495.787109	10700	23000	    58.391	19800	    29.714
01.08.17 02:10:55 187	38496.144531	10800	23200	    56.976	20000	    32.303
01.08.17 02:10:55 591	38496.507812	10900	23400	    55.500	20200	    34.849
01.08.17 02:10:55 911	38496.865234	11000	23600	    52.648	20400	    36.919
01.08.17 02:10:56 234	38497.222656	11100	23800	    50.330	20600	    40.189
01.08.17 02:10:56 631	38497.580078	11200	24000	    48.059	20800	    43.499
01.08.17 02:10:56 954	38497.937500	11300	24200	    44.612	21000	    46.134
01.08.17 02:10:57 280	38498.300781	11400	24400	    42.840	21200	    48.858
01.08.17 02:10:57 678	38498.658203	11500	24600	    41.569	21400	    52.292
01.08.17 02:10:58 000	38499.015625	11600	24800	    40.245	21600	    55.641
01.08.17 02:10:58 327	38499.378906	11700	25000	    39.242	21800	    58.226
01.08.17 02:10:58 724	38499.736328	11800	25200	    38.348	22000	    60.517
01.08.17 02:10:59 046	38500.093750	11900	25400	    37.522	22200	    62.175
01.08.17 02:10:59 373	38500.457031	12000	25600	    36.244	22400	    62.507
01.08.17 02:10:59 771	38500.814453	12100	25800	    34.197	22600	    62.859
01.08.17 02:11:00 093	38501.171875	12200	26000	    32.696	22800	    61.692
01.08.17 02:11:00 418	38501.535156	12300	26200	    31.445	23000	    60.139
01.08.17 02:11:00 817	38501.892578	12400	26400	    30.208	23200	    58.402
01.08.17 02:11:01 139	38502.250000	12500	26600	    28.892	23400	    56.595
01.08.17 02:11:01 536	38502.607422	12600	26800	    28.553	23600	    54.430
01.08.17 02:11:01 859	38502.964844	12700	27000	    27.753	23800	    52.038
01.08.17 02:11:02 186	38503.328125	12800	27200	    26.726	24000	    50.401
01.08.17 02:11:02 583	38503.685547	9800	21200	    48.068	18000	    20.610
01.08.17 02:11:02 905	38504.042969	9900	21400	    51.867	18200	    20.884
01.08.17 02:11:03 232	38504.406250	10000	21600	    55.105	18400	    21.458
01.08.17 02:11:03 629	38504.763672	10100	21800	    57.558	18600	    22.289
01.08.17 02:11:03 952	38505.121094	10200	22000	    59.761	18800	    23.775
01.08.17 02:11:04 273	38505.478516	10300	22200	    61.059	19000	    24.127
01.08.17 02:11:04 671	38505.835938	10400	22400	    61.397	19200	    24.954
01.08.17 02:11:04 999	38506.199219	10500	22600	    61.718	19400	    26.273
01.08.17 02:11:05 319	38506.556641	10600	22800	    60.284	19600	    27.917
01.08.17 02:11:05 718	38506.914062	10700	23000	    58.587	19800	    29.622
01.08.17 02:11:06 044	38507.277344	10800	23200	    56.898	20000	    32.142
01.08.17 02:11:06 366	38507.634766	10900	23400	    55.528	20200	    34.768
01.08.17 02:11:06 764	38507.992188	11000	23600	    52.689	20400	    36.962
01.08.17 02:11:07 091	38508.355469	11100	23800	    50.330	20600	    40.106
01.08.17 02:11:07 411	38508.712891	11200	24000	    48.121	20800	    43.566
01.08.17 02:11:07 811	38509.070312	11300	24200	    44.650	21000	    46.195
01.08.17 02:11:08 131	38509.427734	11400	24400	    43.045	21200	    48.860
01.08.17 02:11:08 468	38509.779297	11500	24600	    41.400	21400	    52.168
01.08.17 02:11:08 798	38510.136719	11600	24800	    40.214	21600	    55.663
01.08.17 02:11:09 126	38510.500000	11700	25000	    39.381	21800	    58.293
01.08.17 02:11:09 456	38510.857422	11800	25200	    38.353	22000	    60.524
01.08.17 02:11:09 779	38511.214844	11900	25400	    37.389	22200	    62.079
01.08.17 02:11:10 100	38511.572266	12000	25600	    36.217	22400	    62.626
01.08.17 02:11:10 421	38511.929688	12100	25800	    34.292	22600	    62.826
01.08.17 02:11:10 820	38512.287109	12200	26000	    32.723	22800	    61.595
01.08.17 02:11:11 141	38512.644531	12300	26200	    31.557	23000	    60.211
01.08.17 02:11:11 545	38513.007812	12400	26400	    30.239	23200	    58.390
01.08.17 02:11:11 866	38513.365234	12500	26600	    28.865	23400	    56.747
01.08.17 02:11:12 187	38513.722656	12600	26800	    28.677	23600	    54.325
01.08.17 02:11:12 591	38514.085938	12700	27000	    27.885	23800	    52.181
01.08.17 02:11:12 913	38514.443359	12800	27200	    26.806	24000	    50.492
01.08.17 02:11:13 234	38514.800781	9800	21200	    48.086	18000	    20.634
01.08.17 02:11:13 638	38515.164062	9900	21400	    51.744	18200	    20.700
01.08.17 02:11:13 958	38515.521484	10000	21600	    55.096	18400	    21.522
01.08.17 02:11:14 281	38515.878906	10100	21800	    57.614	18600	    22.325
01.08.17 02:11:14 678	38516.236328	10200	22000	    59.711	18800	    23.977
01.08.17 02:11:15 001	38516.593750	10300	22200	    60.981	19000	    24.180
01.08.17 02:11:15 327	38516.957031	10400	22400	    61.421	19200	    25.030
01.08.17 02:11:15 725	38517.314453	10500	22600	    61.592	19400	    26.397
01.08.17 02:11:16 046	38517.671875	10600	22800	    60.392	19600	    27.953
01.08.17 02:11:16 374	38518.035156	10700	23000	    58.455	19800	    29.747
01.08.17 02:11:16 771	38518.392578	10800	23200	    56.948	20000	    32.237
01.08.17 02:11:17 093	38518.750000	10900	23400	    55.447	20200	    34.862
01.08.17 02:11:17 419	38519.113281	11000	23600	    52.656	20400	    36.866
01.08.17 02:11:17 818	38519.470703	11100	23800	    50.277	20600	    40.132
01.08.17 02:11:18 140	38519.828125	11200	24000	    48.088	20800	    43.559
01.08.17 02:11:18 538	38520.185547	11300	24200	    44.633	21000	    46.147
01.08.17 02:11:18 859	38520.542969	11400	24400	    42.942	21200	    48.906
01.08.17 02:11:19 186	38520.906250	11500	24600	    41.682	21400	    52.439
01.08.17 02:11:19 584	38521.263672	11600	24800	    40.346	21600	    55.651
01.08.17 02:11:19 906	38521.621094	11700	25000	    39.294	21800	    58.408
01.08.17 02:11:20 233	38521.984375	11800	25200	    38.501	22000	    60.697
01.08.17 02:11:20 630	38522.341797	11900	25400	    37.502	22200	    62.041
01.08.17 02:11:20 953	38522.699219	12000	25600	    36.272	22400	    62.652
01.08.17 02:11:21 279	38523.062500	12100	25800	    34.458	22600	    62.883
01.08.17 02:11:21 676	38523.419922	12200	26000	    32.740	22800	    61.715
01.08.17 02:11:21 999	38523.777344	12300	26200	    31.527	23000	    60.190
01.08.17 02:11:22 326	38524.140625	12400	26400	    30.301	23200	    58.424
01.08.17 02:11:22 733	38524.498047	12500	26600	    28.887	23400	    56.671
01.08.17 02:11:23 064	38524.855469	12600	26800	    28.626	23600	    54.367
01.08.17 02:11:23 390	38525.218750	12700	27000	    27.810	23800	    52.101
01.08.17 02:11:23 794	38525.582031	12800	27200	    26.791	24000	    50.434
01.08.17 02:11:24 114	38525.939453	9800	21200	    48.146	18000	    20.705
01.08.17 02:11:24 442	38526.291016	9900	21400	    51.867	18200	    20.901
01.08.17 02:11:24 763	38526.648438	10000	21600	    55.205	18400	    21.437
01.08.17 02:11:25 084	38527.005859	10100	21800	    57.629	18600	    22.302
01.08.17 02:11:25 406	38527.363281	10200	22000	    59.862	18800	    23.951
01.08.17 02:11:25 810	38527.726562	10300	22200	    60.955	19000	    24.095
01.08.17 02:11:26 130	38528.083984	10400	22400	    61.386	19200	    24.955
01.08.17 02:11:26 457	38528.435547	10500	22600	    61.581	19400	    26.364
01.08.17 02:11:26 780	38528.792969	10600	22800	    60.315	19600	    27.906
01.08.17 02:11:27 100	38529.150391	10700	23000	    58.491	19800	    29.728
01.08.17 02:11:27 422	38529.507812	10800	23200	    56.899	20000	    32.374
01.08.17 02:11:27 826	38529.871094	10900	23400	    55.559	20200	    34.831
01.08.17 02:11:28 147	38530.228516	11000	23600	    52.755	20400	    36.904
01.08.17 02:11:28 545	38530.585938	11100	23800	    50.331	20600	    40.167
01.08.17 02:11:28 867	38530.943359	11200	24000	    48.033	20800	    43.510
01.08.17 02:11:29 188	38531.300781	11300	24200	    44.679	21000	    46.179
01.08.17 02:11:29 592	38531.664062	11400	24400	    43.032	21200	    48.887
01.08.17 02:11:29 912	38532.021484	11500	24600	    41.578	21400	    52.278
01.08.17 02:11:30 235	38532.378906	11600	24800	    40.326	21600	    55.674
01.08.17 02:11:30 638	38532.742188	11700	25000	    39.325	21800	    58.278
01.08.17 02:11:30 959	38533.099609	11800	25200	    38.492	22000	    60.569
